ID Enrollment Status,Enrollment Status,ID Year,Year,Enrollment,University,ID University,Slug University,share
1,Full time,2019,2019,5208993,Doctoral Universities,DOC,doctoral-universities,0.776222698
2,Part time,2019,2019,1501701,Doctoral Universities,DOC,doctoral-universities,0.223777302
1,Full time,2019,2019,3000045,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.831840433
2,Part time,2019,2019,606470,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.168159567
1,Full time,2019,2019,10154,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.785730867
1,Full time,2019,2019,13077,Boston College,164924,boston-college,0.886756628
1,Full time,2019,2019,45510,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.946350593
1,Full time,2019,2019,45366,New York University,193900,new-york-university,0.857823579
1,Full time,2019,2019,10060,University of Rochester,195030,university-of-rochester,0.822365732
1,Full time,2019,2019,22921,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.916400128
2,Part time,2019,2019,2769,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.214269133
2,Part time,2019,2019,1670,Boston College,164924,boston-college,0.113243372
2,Part time,2019,2019,2580,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.053649407
2,Part time,2019,2019,7519,New York University,193900,new-york-university,0.142176421
2,Part time,2019,2019,2173,University of Rochester,195030,university-of-rochester,0.177634268
2,Part time,2019,2019,2091,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.083599872
1,Full time,2018,2018,5171124,Doctoral Universities,DOC,doctoral-universities,0.779205374
2,Part time,2018,2018,1465283,Doctoral Universities,DOC,doctoral-universities,0.220794626
1,Full time,2018,2018,2949765,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.836378087
2,Part time,2018,2018,577067,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.163621913
1,Full time,2018,2018,10509,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.831013759
1,Full time,2018,2018,13165,Boston College,164924,boston-college,0.894361413
1,Full time,2018,2018,44340,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.949139481
1,Full time,2018,2018,43140,New York University,193900,new-york-university,0.832063572
1,Full time,2018,2018,9937,University of Rochester,195030,university-of-rochester,0.840907168
1,Full time,2018,2018,22509,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.913551686
2,Part time,2018,2018,2137,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.168986241
2,Part time,2018,2018,1555,Boston College,164924,boston-college,0.105638587
2,Part time,2018,2018,2376,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.050860519
2,Part time,2018,2018,8707,New York University,193900,new-york-university,0.167936428
2,Part time,2018,2018,1880,University of Rochester,195030,university-of-rochester,0.159092832
2,Part time,2018,2018,2130,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.086448314
1,Full time,2017,2017,5139378,Doctoral Universities,DOC,doctoral-universities,0.779601281
2,Part time,2017,2017,1452938,Doctoral Universities,DOC,doctoral-universities,0.220398719
1,Full time,2017,2017,2906997,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.835847636
2,Part time,2017,2017,570906,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.164152364
1,Full time,2017,2017,10486,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.846737726
1,Full time,2017,2017,13209,Boston College,164924,boston-college,0.902994258
1,Full time,2017,2017,43517,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.94598061
1,Full time,2017,2017,42324,New York University,193900,new-york-university,0.827885687
1,Full time,2017,2017,9766,University of Rochester,195030,university-of-rochester,0.838427198
1,Full time,2017,2017,22167,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.909975369
2,Part time,2017,2017,1898,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.153262274
2,Part time,2017,2017,1419,Boston College,164924,boston-college,0.097005742
2,Part time,2017,2017,2485,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.05401939
2,Part time,2017,2017,8799,New York University,193900,new-york-university,0.172114313
2,Part time,2017,2017,1882,University of Rochester,195030,university-of-rochester,0.161572802
2,Part time,2017,2017,2193,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.090024631
1,Full time,2016,2016,5122545,Doctoral Universities,DOC,doctoral-universities,0.780356397
2,Part time,2016,2016,1441821,Doctoral Universities,DOC,doctoral-universities,0.219643603
1,Full time,2016,2016,2864979,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.835299825
2,Part time,2016,2016,564902,Doctoral Universities: Highest Research Activity,15,doctoral-universities-highest-research-activity,0.164700175
1,Full time,2016,2016,10296,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.818376918
1,Full time,2016,2016,13150,Boston College,164924,boston-college,0.909028066
1,Full time,2016,2016,42361,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.947291918
1,Full time,2016,2016,41374,New York University,193900,new-york-university,0.818476756
1,Full time,2016,2016,9594,University of Rochester,195030,university-of-rochester,0.855919351
1,Full time,2016,2016,21639,University of Virginia-Main Campus,234076,university-of-virginia-main-campus,0.905473261
2,Part time,2016,2016,2285,Tulane University of Louisiana,160755,tulane-university-of-louisiana,0.181623082
2,Part time,2016,2016,1316,Boston College,164924,boston-college,0.090971934
2,Part time,2016,2016,2357,University of Michigan-Ann Arbor,170976,university-of-michigan-ann-arbor,0.052708082
2,Part time,2016,2016,9176,New York University,193900,new-york-university,0.181523244
2,Part time,2016,2016,1615,University of Rochester,195030,university-of-rochester,0.144080649
