ID CIP6,CIP6,ID Year,Year,ID University,University,ID Gender,Gender,Completions,Slug University,Slug CIP6
520201,General Business Administration & Management,2012,2012,193900,New York University,2,Women,542,new-york-university,general-business-administration-management
440701,Social Work,2016,2016,193900,New York University,2,Women,536,new-york-university,social-work-440701
440701,Social Work,2013,2013,193900,New York University,2,Women,516,new-york-university,social-work-440701
440701,Social Work,2018,2018,193900,New York University,2,Women,516,new-york-university,social-work-440701
440701,Social Work,2017,2017,193900,New York University,2,Women,513,new-york-university,social-work-440701
440701,Social Work,2012,2012,193900,New York University,2,Women,506,new-york-university,social-work-440701
520201,General Business Administration & Management,2015,2015,193900,New York University,2,Women,503,new-york-university,general-business-administration-management
520201,General Business Administration & Management,2014,2014,193900,New York University,2,Women,501,new-york-university,general-business-administration-management
440701,Social Work,2019,2019,193900,New York University,2,Women,493,new-york-university,social-work-440701
440701,Social Work,2014,2014,193900,New York University,2,Women,491,new-york-university,social-work-440701
440701,Social Work,2015,2015,193900,New York University,2,Women,480,new-york-university,social-work-440701
520201,General Business Administration & Management,2013,2013,193900,New York University,2,Women,421,new-york-university,general-business-administration-management
240101,Liberal Arts & Sciences,2016,2016,193900,New York University,2,Women,419,new-york-university,liberal-arts-sciences-240101
240101,Liberal Arts & Sciences,2014,2014,193900,New York University,2,Women,416,new-york-university,liberal-arts-sciences-240101
240101,Liberal Arts & Sciences,2018,2018,193900,New York University,2,Women,414,new-york-university,liberal-arts-sciences-240101
520201,General Business Administration & Management,2016,2016,193900,New York University,2,Women,412,new-york-university,general-business-administration-management
240101,Liberal Arts & Sciences,2019,2019,193900,New York University,2,Women,406,new-york-university,liberal-arts-sciences-240101
521801,"General Sales, Distribution, & Marketing Operations",2019,2019,193900,New York University,2,Women,403,new-york-university,general-sales-distribution-marketing-operations
520201,General Business Administration & Management,2019,2019,193900,New York University,2,Women,394,new-york-university,general-business-administration-management
240101,Liberal Arts & Sciences,2017,2017,193900,New York University,2,Women,393,new-york-university,liberal-arts-sciences-240101
513801,Registered Nursing,2013,2013,193900,New York University,2,Women,392,new-york-university,registered-nursing
513801,Registered Nursing,2017,2017,193900,New York University,2,Women,391,new-york-university,registered-nursing
240101,Liberal Arts & Sciences,2013,2013,193900,New York University,2,Women,388,new-york-university,liberal-arts-sciences-240101
513801,Registered Nursing,2018,2018,193900,New York University,2,Women,381,new-york-university,registered-nursing
513801,Registered Nursing,2015,2015,193900,New York University,2,Women,379,new-york-university,registered-nursing
520201,General Business Administration & Management,2018,2018,193900,New York University,2,Women,378,new-york-university,general-business-administration-management
520201,General Business Administration & Management,2017,2017,193900,New York University,2,Women,376,new-york-university,general-business-administration-management
521801,"General Sales, Distribution, & Marketing Operations",2018,2018,193900,New York University,2,Women,370,new-york-university,general-sales-distribution-marketing-operations
513801,Registered Nursing,2019,2019,193900,New York University,2,Women,369,new-york-university,registered-nursing
420101,General Psychology,2016,2016,193900,New York University,2,Women,365,new-york-university,general-psychology-420101
513801,Registered Nursing,2016,2016,193900,New York University,2,Women,350,new-york-university,registered-nursing
240101,Liberal Arts & Sciences,2015,2015,193900,New York University,2,Women,349,new-york-university,liberal-arts-sciences-240101
240101,Liberal Arts & Sciences,2012,2012,193900,New York University,2,Women,346,new-york-university,liberal-arts-sciences-240101
500501,General Drama & Theater Arts,2012,2012,193900,New York University,2,Women,334,new-york-university,general-drama-theater-arts
420101,General Psychology,2017,2017,193900,New York University,2,Women,329,new-york-university,general-psychology-420101
500501,General Drama & Theater Arts,2014,2014,193900,New York University,2,Women,322,new-york-university,general-drama-theater-arts
500501,General Drama & Theater Arts,2013,2013,193900,New York University,2,Women,318,new-york-university,general-drama-theater-arts
420101,General Psychology,2013,2013,193900,New York University,2,Women,310,new-york-university,general-psychology-420101
513899,"Other Registered Nursing, Nursing Administration, Nursing Research, & Clinical Nursing",2012,2012,193900,New York University,2,Women,309,new-york-university,other-registered-nursing-nursing-administration-nursing-research-clinical-nursing
500501,General Drama & Theater Arts,2019,2019,193900,New York University,2,Women,302,new-york-university,general-drama-theater-arts
500501,General Drama & Theater Arts,2016,2016,193900,New York University,2,Women,298,new-york-university,general-drama-theater-arts
513801,Registered Nursing,2014,2014,193900,New York University,2,Women,294,new-york-university,registered-nursing
420101,General Psychology,2019,2019,193900,New York University,2,Women,293,new-york-university,general-psychology-420101
500501,General Drama & Theater Arts,2017,2017,193900,New York University,2,Women,292,new-york-university,general-drama-theater-arts
450601,General Economics,2014,2014,193900,New York University,2,Women,291,new-york-university,general-economics
229999,Other Legal Professions & Studies,2012,2012,193900,New York University,2,Women,282,new-york-university,other-legal-professions-studies
90702,Digital Communication & Multimedia,2019,2019,193900,New York University,2,Women,281,new-york-university,digital-communication-multimedia
